Date,VALUE,VOLUME
2018-06-29 16:07:45.189,186.33,100.0
2018-06-29 16:07:45.192,186.33,100.0
2018-06-29 16:07:46.105,186.32,200.0
2018-06-29 16:07:46.105,186.32,9.0
2018-06-29 16:07:46.105,186.32,10.0
2018-06-29 16:07:46.105,186.32,100.0
2018-06-29 16:07:46.105,186.32,90.0
2018-06-29 16:07:46.105,186.32,100.0
2018-06-29 16:07:46.107,186.33,25.0
2018-06-29 16:07:46.107,186.33,68.0
2018-06-29 16:07:46.270,186.31,1.0
2018-06-29 16:07:46.469,186.3,91.0
2018-06-29 16:07:46.469,186.3,9.0
2018-06-29 16:07:46.469,186.3,100.0
2018-06-29 16:07:48.324,186.29,100.0
2018-06-29 16:07:48.324,186.29,100.0
2018-06-29 16:07:48.324,186.29,1.0
2018-06-29 16:07:48.324,186.29,1.0
2018-06-29 16:07:48.324,186.29,1.0
2018-06-29 16:07:48.324,186.29,200.0
2018-06-29 16:07:48.324,186.29,71.0
2018-06-29 16:07:48.324,186.29,5.0
2018-06-29 16:07:48.324,186.28,124.0
2018-06-29 16:07:48.324,186.28,400.0
2018-06-29 16:07:48.324,186.29,100.0
2018-06-29 16:07:48.325,186.29,200.0
2018-06-29 16:07:48.428,186.3,49.0
2018-06-29 16:07:48.428,186.3,51.0
2018-06-29 16:07:48.802,186.2784,184.0
2018-06-29 16:07:49.253,186.28,100.0
2018-06-29 16:07:49.253,186.28,20.0
2018-06-29 16:07:49.506,186.29,10.0
2018-06-29 16:07:50.367,186.2889,1700.0
2018-06-29 16:07:51.617,186.29,10.0
2018-06-29 16:07:52.556,186.31,5.0
2018-06-29 16:07:52.566,186.3,5.0
2018-06-29 16:07:52.566,186.3,10.0
2018-06-29 16:07:52.640,186.2978,40.0
2018-06-29 16:07:53.543,186.31,4.0
2018-06-29 16:07:53.737,186.3,100.0
2018-06-29 16:07:53.747,186.3,100.0
2018-06-29 16:07:53.748,186.3027,300.0
2018-06-29 16:07:53.749,186.3,100.0
2018-06-29 16:07:53.749,186.3,100.0
2018-06-29 16:07:53.799,186.29,100.0
2018-06-29 16:07:53.799,186.29,200.0
2018-06-29 16:07:53.800,186.29,100.0
2018-06-29 16:07:53.800,186.3,70.0
2018-06-29 16:07:56.103,186.2974,10.0
2018-06-29 16:07:57.296,186.2999,45.0
2018-06-29 16:07:57.812,186.29,100.0
2018-06-29 16:07:57.812,186.29,100.0
2018-06-29 16:07:57.812,186.29,1.0
2018-06-29 16:07:57.813,186.295,20.0
2018-06-29 16:07:57.813,186.29,80.0
2018-06-29 16:07:57.813,186.29,20.0
2018-06-29 16:07:57.813,186.29,100.0
2018-06-29 16:07:57.866,186.28,180.0
2018-06-29 16:07:59.855,186.26,1.0
2018-06-29 16:07:59.957,186.26,30.0
2018-06-29 16:07:59.957,186.26,600.0
2018-06-29 16:07:59.958,186.26,100.0
2018-06-29 16:08:00.185,186.25,100.0
2018-06-29 16:08:00.769,186.2575,200.0
2018-06-29 16:08:00.773,186.255,800.0
2018-06-29 16:08:00.894,186.255,82.0
2018-06-29 16:08:01.533,186.255,1.0
2018-06-29 16:08:01.534,186.255,1.0
2018-06-29 16:08:01.534,186.25,427.0
2018-06-29 16:08:01.535,186.25,1.0
2018-06-29 16:08:02.202,186.25,100.0
2018-06-29 16:08:02.202,186.25,100.0
2018-06-29 16:08:02.202,186.25,10.0
2018-06-29 16:08:02.205,186.26,100.0
2018-06-29 16:08:02.205,186.26,100.0
2018-06-29 16:08:02.206,186.26,16.0
2018-06-29 16:08:02.206,186.26,84.0
2018-06-29 16:08:02.206,186.26,1.0
2018-06-29 16:08:02.206,186.26,1.0
2018-06-29 16:08:02.206,186.26,64.0
2018-06-29 16:08:02.206,186.26,36.0
2018-06-29 16:08:02.810,186.27,600.0
2018-06-29 16:08:02.811,186.27,100.0
2018-06-29 16:08:02.811,186.27,100.0
2018-06-29 16:08:02.811,186.27,3.0
2018-06-29 16:08:02.811,186.27,26.0
2018-06-29 16:08:02.811,186.27,100.0
2018-06-29 16:08:02.811,186.27,100.0
2018-06-29 16:08:02.845,186.27,1.0
2018-06-29 16:08:02.845,186.27,100.0
2018-06-29 16:08:02.845,186.27,100.0
2018-06-29 16:08:02.845,186.27,100.0
2018-06-29 16:08:02.847,186.2762,1.0
2018-06-29 16:08:02.848,186.2762,100.0
2018-06-29 16:08:02.854,186.274,1799.0
2018-06-29 16:08:03.802,186.27,100.0
2018-06-29 16:08:03.803,186.28,10.0
2018-06-29 16:08:03.803,186.28,100.0
2018-06-29 16:08:03.803,186.28,1.0
2018-06-29 16:08:03.803,186.28,100.0
2018-06-29 16:08:03.804,186.28,200.0
2018-06-29 16:08:03.804,186.28,200.0
2018-06-29 16:08:03.804,186.28,200.0
2018-06-29 16:08:03.804,186.28,100.0
2018-06-29 16:08:03.804,186.28,200.0
2018-06-29 16:08:03.804,186.28,100.0
2018-06-29 16:08:03.804,186.28,100.0
2018-06-29 16:08:03.804,186.28,89.0
2018-06-29 16:08:04.197,186.29,100.0
2018-06-29 16:08:04.198,186.29,100.0
2018-06-29 16:08:04.198,186.29,87.0
2018-06-29 16:08:04.307,186.29,200.0
2018-06-29 16:08:04.372,186.2899,20.0
2018-06-29 16:08:04.387,186.29,200.0
2018-06-29 16:08:05.719,186.2832,2.0
2018-06-29 16:08:07.274,186.29,100.0
2018-06-29 16:08:07.274,186.29,10.0
2018-06-29 16:08:07.275,186.29,100.0
2018-06-29 16:08:07.275,186.29,1.0
2018-06-29 16:08:07.275,186.29,100.0
2018-06-29 16:08:07.804,186.31,100.0
2018-06-29 16:08:07.804,186.31,100.0
2018-06-29 16:08:07.804,186.31,100.0
2018-06-29 16:08:07.804,186.31,100.0
2018-06-29 16:08:07.804,186.31,100.0
2018-06-29 16:08:07.805,186.31,100.0
2018-06-29 16:08:08.581,186.3,200.0
2018-06-29 16:08:08.581,186.3,100.0
2018-06-29 16:08:08.581,186.3,100.0
2018-06-29 16:08:08.666,186.29,200.0
2018-06-29 16:08:08.667,186.29,800.0
2018-06-29 16:08:10.407,186.29,100.0
2018-06-29 16:08:10.408,186.29,100.0
2018-06-29 16:08:10.413,186.28,300.0
2018-06-29 16:08:10.413,186.28,100.0
2018-06-29 16:08:10.413,186.28,200.0
2018-06-29 16:08:10.413,186.28,1.0
2018-06-29 16:08:10.413,186.28,1.0
2018-06-29 16:08:10.413,186.28,200.0
2018-06-29 16:08:10.413,186.28,500.0
2018-06-29 16:08:10.413,186.28,200.0
2018-06-29 16:08:10.413,186.28,100.0
2018-06-29 16:08:10.804,186.28,100.0
2018-06-29 16:08:10.804,186.28,600.0
2018-06-29 16:08:10.804,186.28,100.0
2018-06-29 16:08:10.804,186.28,100.0
2018-06-29 16:08:10.804,186.28,100.0
2018-06-29 16:08:10.804,186.28,100.0
2018-06-29 16:08:11.525,186.281,60.0
2018-06-29 16:08:12.204,186.29,100.0
2018-06-29 16:08:12.300,186.299,236.0
2018-06-29 16:08:15.261,186.28,1.0
2018-06-29 16:08:18.784,186.28,100.0
2018-06-29 16:08:18.784,186.28,100.0
2018-06-29 16:08:18.784,186.28,100.0
2018-06-29 16:08:18.784,186.28,100.0
2018-06-29 16:08:18.784,186.28,100.0
2018-06-29 16:08:18.784,186.28,100.0
2018-06-29 16:08:18.784,186.28,1.0
2018-06-29 16:08:18.784,186.28,100.0
2018-06-29 16:08:18.784,186.28,100.0
2018-06-29 16:08:18.828,186.27,199.0
2018-06-29 16:08:18.828,186.27,101.0
2018-06-29 16:08:18.828,186.27,200.0
2018-06-29 16:08:18.952,186.265,11.0
2018-06-29 16:08:19.787,186.2699,3.0
2018-06-29 16:08:21.052,186.26,100.0
2018-06-29 16:08:21.052,186.26,300.0
2018-06-29 16:08:21.052,186.26,32.0
2018-06-29 16:08:21.052,186.26,100.0
2018-06-29 16:08:21.052,186.26,100.0
2018-06-29 16:08:21.052,186.26,100.0
2018-06-29 16:08:21.052,186.26,200.0
2018-06-29 16:08:21.053,186.26,100.0
2018-06-29 16:08:21.053,186.26,32.0
2018-06-29 16:08:21.058,186.255,16.0
2018-06-29 16:08:21.058,186.25,44.0
2018-06-29 16:08:21.093,186.27,100.0
2018-06-29 16:08:21.093,186.27,23.0
2018-06-29 16:08:21.093,186.27,100.0
2018-06-29 16:08:21.093,186.28,398.0
2018-06-29 16:08:21.093,186.28,200.0
2018-06-29 16:08:21.093,186.28,98.0
2018-06-29 16:08:21.093,186.28,100.0
2018-06-29 16:08:21.093,186.28,200.0
2018-06-29 16:08:21.093,186.28,100.0
2018-06-29 16:08:21.093,186.28,2.0
2018-06-29 16:08:21.094,186.32,200.0
2018-06-29 16:08:21.094,186.28,100.0
2018-06-29 16:08:21.094,186.29,100.0
2018-06-29 16:08:21.094,186.29,100.0
2018-06-29 16:08:21.094,186.29,100.0
2018-06-29 16:08:21.094,186.29,200.0
2018-06-29 16:08:21.094,186.29,100.0
2018-06-29 16:08:21.095,186.29,200.0
2018-06-29 16:08:21.095,186.33,200.0
2018-06-29 16:08:21.095,186.29,100.0
2018-06-29 16:08:21.095,186.29,100.0
2018-06-29 16:08:21.095,186.29,100.0
2018-06-29 16:08:21.095,186.29,100.0
2018-06-29 16:08:21.095,186.29,200.0
2018-06-29 16:08:21.095,186.3,200.0
2018-06-29 16:08:21.095,186.3,100.0
2018-06-29 16:08:21.095,186.3,300.0
2018-06-29 16:08:21.095,186.34,200.0
2018-06-29 16:08:21.095,186.28,100.0
2018-06-29 16:08:21.095,186.3,100.0
2018-06-29 16:08:21.095,186.35,100.0
2018-06-29 16:08:21.095,186.35,100.0
2018-06-29 16:08:21.095,186.31,200.0
2018-06-29 16:08:21.096,186.37,100.0
2018-06-29 16:08:21.096,186.29,100.0
2018-06-29 16:08:21.096,186.36,200.0
2018-06-29 16:08:21.096,186.29,100.0
2018-06-29 16:08:21.096,186.3,100.0
2018-06-29 16:08:21.096,186.3,100.0
2018-06-29 16:08:21.096,186.3,100.0
2018-06-29 16:08:21.096,186.31,200.0
2018-06-29 16:08:21.096,186.31,100.0
2018-06-29 16:08:21.096,186.32,100.0
2018-06-29 16:08:21.097,186.31,200.0
2018-06-29 16:08:21.097,186.3,100.0
2018-06-29 16:08:21.097,186.3,64.0
2018-06-29 16:08:21.097,186.32,200.0
2018-06-29 16:08:21.097,186.32,100.0
2018-06-29 16:08:21.097,186.32,100.0
